,Watched,Date,Day,Rating,title,budget,genres,release_date,revenue,vote_average,vote_count
5568,Family,2018-11-28,wednesday,4.0,The Nightmare Before Christmas,18000000,"['Fantasy', 'Animation', 'Family']",1993-10-09,75634409,7.6,2135
6016,Alone,2018-10-03,wednesday,4.0,Okja,50000000,"['Adventure', 'Drama', 'Fantasy', 'Science Fiction']",2017-05-19,0,7.7,795
6240,Family,2018-06-02,saturday,4.0,Toy Story 3,200000000,"['Animation', 'Family', 'Comedy']",2010-06-16,1066969703,7.6,4710
6400,Alone,2019-04-19,friday,4.0,The Little Prince,64000000,"['Adventure', 'Animation', 'Fantasy']",2015-07-29,97571250,7.6,771
6784,Alone,2019-03-01,friday,4.0,Fargo,7000000,"['Crime', 'Drama', 'Thriller']",1996-04-05,60611975,7.7,2080
7008,with gf,2018-09-21,friday,4.0,Ferris Bueller's Day Off,6000000,['Comedy'],1986-06-11,70136369,7.5,1340
7488,Alone,2018-05-06,sunday,4.0,Guardians of the Galaxy,170000000,"['Action', 'Science Fiction', 'Adventure']",2014-07-30,773328629,7.9,10014
8064,with gf,2018-11-11,sunday,4.0,Life of Brian,4000000,['Comedy'],1979-08-17,20045115,7.7,1230
8224,Alone,2018-10-28,sunday,4.0,Magnolia,37000000,['Drama'],1999-12-08,48451803,7.5,844
8736,Alone,2018-12-08,saturday,4.0,Saving Private Ryan,70000000,"['Drama', 'History', 'War']",1998-07-24,481840909,7.9,5148
416,Alone,2018-11-05,monday,4.5,Once Upon a Time in America,30000000,"['Drama', 'Crime']",1984-02-16,0,8.3,1104
608,Alone,2018-05-02,wednesday,4.5,Apocalypse Now,31500000,"['Drama', 'War']",1979-08-15,89460381,8.0,2112
800,Alone,2018-10-20,sunday,4.5,Metropolis,92620000,"['Drama', 'Science Fiction']",1927-01-10,650422,8.0,666
1184,Alone,2019-01-27,sunday,4.5,Room,6000000,"['Drama', 'Thriller']",2015-10-16,35401758,8.1,2838
3104,Alone,2018-05-23,wednesday,4.5,Life Is Beautiful,20000000,"['Comedy', 'Drama']",1997-12-20,229400000,8.3,3643
3296,Family,2018-08-12,sunday,4.5,Spirited Away,15000000,"['Fantasy', 'Adventure', 'Animation', 'Family']",2001-07-20,274925095,8.3,3968
3488,Family,2018-10-28,sunday,4.5,Back to the Future,19000000,"['Adventure', 'Comedy', 'Science Fiction', 'Family']",1985-07-03,381109762,8.0,6239
3680,Alone,2019-01-16,wednesday,4.5,The Lord of the Rings: The Return of the King,94000000,"['Adventure', 'Fantasy', 'Action']",2003-12-01,1118888979,8.1,8226
4448,Alone,2018-12-19,wednesday,4.5,Interstellar,165000000,"['Adventure', 'Drama', 'Science Fiction']",2014-11-05,675120017,8.1,11187
4640,Alone,2018-04-28,saturday,4.5,The Pianist,35000000,"['Drama', 'War']",2002-09-24,120072577,8.1,1927
5024,Alone,2018-08-06,monday,4.5,City of God,3300000,"['Drama', 'Crime']",2002-02-05,30641770,8.2,1852
5216,Alone,2018-08-20,monday,4.5,Scarface,25000000,"['Action', 'Crime', 'Drama', 'Thriller']",1983-12-08,65884703,8.0,3017
5600,Alone,2019-04-18,sunday,4.5,Modern Times,1,"['Drama', 'Comedy']",1936-02-05,8500000,8.1,881
5984,with gf,2018-05-26,saturday,4.5,The Shining,19000000,"['Horror', 'Thriller']",1980-05-22,44017374,8.1,3890
6368,Alone,2019-02-06,wednesday,4.5,Inception,160000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",2010-07-14,825532764,8.1,14075
7520,Alone,2018-08-31,friday,4.5,The Silence of the Lambs,19000000,"['Crime', 'Drama', 'Thriller']",1991-02-01,272742922,8.1,4549
7904,Family,2019-04-21,sunday,4.5,Some Like It Hot,2883848,"['Comedy', 'Romance']",1959-03-18,25000000,8.0,835
8864,Alone,2018-05-01,sunday,4.5,12 Angry Men,350000,['Drama'],1957-03-25,1000000,8.2,2130
256,Alone,2018-03-30,friday,5.0,The Imitation Game,14000000,"['History', 'Drama', 'Thriller', 'War']",2014-11-14,233555708,8.0,5895
480,Alone,2019-03-02,saturday,5.0,Once Upon a Time in America,30000000,"['Drama', 'Crime']",1984-02-16,0,8.3,1104
1056,Alone,2018-06-27,wednesday,5.0,The Lord of the Rings: The Fellowship of the Ring,93000000,"['Adventure', 'Fantasy', 'Action']",2001-12-18,871368364,8.0,8892
1376,with gf,2019-02-21,sunday,5.0,The Great Dictator,2000000,['Comedy'],1940-10-15,11000000,8.1,756
2880,Alone,2018-03-30,friday,5.0,City of God,3300000,"['Drama', 'Crime']",2002-02-05,30641770,8.2,1852
2944,Alone,2018-04-14,saturday,5.0,Scarface,25000000,"['Action', 'Crime', 'Drama', 'Thriller']",1983-12-08,65884703,8.0,3017
3168,Alone,2018-06-13,sunday,5.0,Modern Times,1,"['Drama', 'Comedy']",1936-02-05,8500000,8.1,881
3264,with gf,2018-07-29,saturday,5.0,The Shining,19000000,"['Horror', 'Thriller']",1980-05-22,44017374,8.1,3890
3456,Alone,2018-10-12,friday,5.0,One Flew Over the Cuckoo's Nest,3000000,['Drama'],1975-11-18,108981275,8.3,3001
3616,Alone,2018-12-16,sunday,5.0,Inception,160000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",2010-07-14,825532764,8.1,14075
3840,Alone,2019-03-19,tuesday,5.0,Star Wars,11000000,"['Adventure', 'Action', 'Science Fiction']",1977-05-25,775398007,8.1,6778
3904,Alone,2019-04-14,sunday,5.0,Oldboy,3000000,"['Drama', 'Thriller', 'Mystery', 'Action']",2003-01-01,14980005,8.0,2000
4416,Family,2018-09-23,sunday,5.0,Some Like It Hot,2883848,"['Comedy', 'Romance']",1959-03-18,25000000,8.0,835
4736,Alone,2019-02-12,tuesday,5.0,Reservoir Dogs,1200000,"['Crime', 'Thriller']",1992-09-02,14661007,8.1,3821
4864,Alone,2018-06-24,sunday,5.0,12 Angry Men,350000,['Drama'],1957-03-25,1000000,8.2,2130
5184,Alone,2018-05-09,sunday,5.0,Citizen Kane,839727,"['Mystery', 'Drama']",1941-04-30,23217674,8.0,1244
5248,Alone,2018-11-16,friday,5.0,Se7en,33000000,"['Crime', 'Mystery', 'Thriller']",1995-09-22,327311859,8.1,5915
5280,Alone,2019-02-28,thursday,5.0,Whiplash,3300000,['Drama'],2014-10-10,13092000,8.3,4376
5408,Alone,2018-12-14,friday,5.0,The Legend of 1900,9000000,['Fantasy'],1998-10-28,0,8.1,554
5536,Alone,2018-07-03,tuesday,5.0,The Grand Budapest Hotel,30000000,"['Comedy', 'Drama']",2014-02-26,174600318,8.0,4644
5824,Alone,2018-12-24,monday,5.0,Sing Street,4000000,"['Romance', 'Drama', 'Music']",2016-03-11,13624522,8.0,669
5856,Alone,2019-03-18,sunday,5.0,Vertigo,2479000,"['Mystery', 'Romance', 'Thriller']",1958-05-09,28000000,8.0,1162
6048,Alone,2019-02-05,tuesday,5.0,The Empire Strikes Back,18000000,"['Adventure', 'Action', 'Science Fiction']",1980-05-17,538400000,8.2,5998
6304,Alone,2018-10-04,thursday,5.0,The Godfather: Part II,13000000,"['Drama', 'Crime']",1974-12-20,47542841,8.3,3418
6624,Alone,2018-05-03,thursday,5.0,The Intouchables,13000000,"['Drama', 'Comedy']",2011-11-02,426480871,8.2,5410
6720,Alone,2018-10-07,sunday,5.0,"The Good, the Bad and the Ugly",1200000,['Western'],1966-12-23,6000000,8.1,2371
6976,Alone,2018-05-18,friday,5.0,Leon: The Professional,16000000,"['Thriller', 'Crime', 'Drama']",1994-09-14,45284974,8.2,4293
7200,Alone,2018-06-17,sunday,5.0,Rear Window,1000000,"['Drama', 'Mystery', 'Thriller']",1954-08-01,36764313,8.2,1531
7360,with gf,2018-08-02,sunday,5.0,Psycho,806948,"['Drama', 'Horror', 'Thriller']",1960-06-16,32000000,8.3,2405
7648,Alone,2018-06-02,saturday,5.0,Princess Mononoke,26500000,"['Adventure', 'Fantasy', 'Animation']",1997-07-12,159375308,8.2,2041
8096,Alone,2019-03-15,friday,5.0,Howl's Moving Castle,24000000,"['Fantasy', 'Animation', 'Adventure']",2004-11-19,234710455,8.2,2049
8256,Alone,2019-05-07,tuesday,5.0,Band of Brothers,125000000,"['Action', 'Drama', 'War']",2001-09-09,0,8.2,725
8416,Alone,2019-01-07,monday,5.0,The Lord of the Rings: The Two Towers,79000000,"['Adventure', 'Fantasy', 'Action']",2002-12-18,926287400,8.0,7641
8544,Alone,2018-08-01,wednesday,5.0,A Clockwork Orange,2200000,"['Science Fiction', 'Drama']",1971-12-18,26589000,8.0,3432
8768,Alone,2019-05-07,tuesday,5.0,Memento,9000000,"['Mystery', 'Thriller']",2000-10-11,39723096,8.1,4168
8896,Alone,2018-09-27,thursday,5.0,Forrest Gump,55000000,"['Comedy', 'Drama', 'Romance']",1994-07-06,677945399,8.2,8147
32,with gf,2018-05-07,monday,1.0,Scary Movie 5,20000000,['Comedy'],2013-04-11,78378744,4.6,813
1632,with gf,2018-05-14,monday,1.0,Jack and Jill,79000000,['Comedy'],2011-11-11,149673788,4.0,619
3232,Family,2018-07-07,saturday,1.0,The Legend of Hercules,70000000,"['Action', 'Adventure']",2014-01-10,61279452,4.4,542
4832,Family,2018-12-25,tuesday,1.0,Catwoman,100000000,"['Action', 'Crime']",2004-07-22,82102379,4.2,833
6432,Family,2018-04-16,monday,1.0,Knock Knock,2500000,"['Drama', 'Thriller']",2015-06-26,6341684,4.9,880
8032,with gf,2018-06-20,saturday,1.0,The Human Centipede (First Sequence),2011799,['Horror'],2009-04-26,0,4.9,528
5088,Family,2018-08-25,saturday,2.0,G.I. Joe: Retaliation,130000000,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",2013-03-26,371876278,5.4,3045
192,Family,2018-12-25,tuesday,3.0,Blades of Glory,53000000,"['Action', 'Comedy', 'Drama']",2007-03-30,0,5.9,578
352,Family,2018-08-04,saturday,3.0,Pixels,88000000,"['Action', 'Comedy', 'Science Fiction']",2015-07-16,243637091,5.6,2564
512,with gf,2019-04-20,saturday,3.0,Paranormal Activity,15000,"['Horror', 'Mystery']",2007-09-14,193355800,5.9,1351
672,Family,2019-01-05,saturday,3.0,Licence to Kill,32000000,"['Adventure', 'Action', 'Thriller']",1989-07-07,156167015,5.9,549
832,Family,2019-03-28,thursday,3.0,Bedtime Stories,80000000,"['Fantasy', 'Comedy', 'Family', 'Romance']",2008-12-24,212874442,5.9,924
992,Family,2018-04-10,tuesday,3.0,Noah,125000000,"['Drama', 'Adventure']",2014-03-20,362637473,5.5,2408
1152,Family,2018-12-07,friday,3.0,Dark Shadows,150000000,"['Comedy', 'Fantasy']",2012-05-08,245527149,5.7,2383
1312,with gf,2018-06-02,saturday,3.0,Ouija: Origin of Evil,9000000,"['Horror', 'Thriller']",2016-10-20,81705746,5.8,735
1472,with gf,2018-04-12,saturday,3.0,Sinister 2,10000000,['Horror'],2015-08-19,52882018,5.5,605
1792,Family,2018-07-01,sunday,3.0,G.I. Joe: The Rise of Cobra,175000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",2009-08-04,302469017,5.6,1988
1952,Family,2018-08-23,thursday,3.0,Die Another Day,140000000,"['Adventure', 'Action', 'Thriller']",2002-11-17,431971116,5.8,1112
2112,Family,2018-10-02,tuesday,3.0,101 Dalmatians,54000000,"['Comedy', 'Family']",1996-11-17,320689294,5.6,722
2272,Family,2018-11-13,tuesday,3.0,The Smurfs,110000000,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",2011-07-29,563749323,5.5,1201
2432,with gf,2018-12-26,saturday,3.0,A Nightmare on Elm Street,35000000,"['Horror', 'Mystery', 'Thriller']",2010-04-30,115664037,5.5,771
2592,Family,2019-02-08,friday,3.0,You Don't Mess with the Zohan,90000000,"['Comedy', 'Action']",2008-06-05,201596308,5.5,1068
2752,Family,2019-03-26,tuesday,3.0,The Pacifier,56000000,"['Action', 'Comedy', 'Drama', 'Family', 'Thriller']",2005-03-04,113006880,5.8,865
2912,with gf,2018-04-08,sunday,3.0,Kindergarten Cop,15000000,['Comedy'],1990-12-21,201957688,5.8,643
3072,with gf,2018-05-13,sunday,3.0,Sisters,30000000,['Comedy'],2015-12-18,105011053,5.8,593
3392,Family,2018-09-20,thursday,3.0,Identity Thief,35000000,"['Comedy', 'Crime']",2013-02-07,173965010,5.6,1667
3552,Family,2018-11-18,sunday,3.0,Broken City,56000000,"['Thriller', 'Crime', 'Drama']",2013-01-18,19701164,5.7,601
3712,Family,2019-01-27,sunday,3.0,Terminator Salvation,200000000,"['Action', 'Science Fiction', 'Thriller']",2009-05-20,371353001,5.9,2496
3872,with gf,2019-03-31,saturday,3.0,I Know What You Did Last Summer,17000000,"['Horror', 'Thriller', 'Mystery']",1997-10-17,125586134,5.6,698
4032,with gf,2018-10-28,sunday,3.0,Fun with Dick and Jane,100000000,['Comedy'],2005-12-21,202026112,5.9,639
4192,Family,2019-03-02,saturday,3.0,What to Expect When You're Expecting,40000000,"['Romance', 'Comedy', 'Drama']",2012-05-17,79700000,5.8,611
4352,Family,2018-04-08,sunday,3.0,The Last Stand,30000000,"['Action', 'Crime', 'Thriller']",2013-01-12,0,5.7,1282
4512,with gf,2018-04-11,saturday,3.0,The Grudge,10000000,"['Horror', 'Mystery', 'Thriller']",2004-10-22,183474602,5.8,889
4672,Family,2018-07-19,thursday,3.0,National Lampoon’s Van Wilder,5000000,"['Comedy', 'Romance']",2002-03-29,38275483,5.9,867
4992,with gf,2019-02-28,saturday,3.0,Friday the 13th,19000000,['Horror'],2009-02-11,91379051,5.7,566
5152,Family,2019-02-05,tuesday,3.0,The Legend of Tarzan,180000000,"['Action', 'Adventure']",2016-06-29,356743061,5.5,2488
5312,Family,2018-05-04,friday,3.0,Snow White and the Huntsman,170000000,"['Adventure', 'Fantasy', 'Drama']",2012-05-30,396600000,5.8,3183
5472,Family,2018-09-06,thursday,3.0,xXx: Return of Xander Cage,85000000,"['Action', 'Adventure', 'Crime']",2017-01-13,346147658,5.5,1497
5632,Family,2018-05-14,monday,3.0,Jumper,85000000,"['Adventure', 'Fantasy', 'Science Fiction']",2008-02-10,222231186,5.9,1855
5792,Family,2018-10-12,friday,3.0,Lara Croft: Tomb Raider,115000000,"['Adventure', 'Fantasy', 'Action', 'Thriller']",2001-06-11,274703340,5.7,2235
5952,Family,2018-12-29,saturday,3.0,This Means War,65000000,"['Action', 'Comedy', 'Romance']",2012-02-14,156974557,5.9,1411
6112,Family,2018-07-11,wednesday,3.0,Just My Luck,28000000,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Romance']",2006-05-12,38159905,5.8,512
6272,with gf,2018-08-08,wednesday,3.0,Anger Management,75000000,['Comedy'],2003-04-11,195745823,5.9,937
6592,Family,2019-05-07,tuesday,3.0,The Lone Ranger,255000000,"['Action', 'Adventure', 'Western']",2013-07-03,89289910,5.9,2361
6752,Family,2018-12-28,friday,3.0,Terminator 3: Rise of the Machines,200000000,"['Action', 'Thriller', 'Science Fiction']",2003-07-02,435000000,5.9,2177
6912,Family,2018-11-22,thursday,3.0,The Golden Compass,180000000,"['Adventure', 'Fantasy']",2007-12-04,372234864,5.8,1347
7072,Family,2018-08-24,friday,3.0,Brick Mansions,28000000,"['Action', 'Crime', 'Drama']",2014-04-22,68896829,5.7,628
7232,Family,2018-10-16,tuesday,3.0,The Twilight Saga: Eclipse,68000000,"['Adventure', 'Fantasy', 'Drama', 'Romance']",2010-06-23,698491347,5.9,2382
7392,Family,2018-12-25,tuesday,3.0,Jason Bourne,120000000,"['Action', 'Thriller']",2016-07-27,415484914,5.9,2386
7552,Family,2019-02-01,friday,3.0,Beastly,17000000,"['Drama', 'Fantasy', 'Romance']",2011-01-21,43165571,5.9,878
7712,Family,2018-04-13,friday,3.0,She's Out of My League,20000000,"['Comedy', 'Romance']",2010-03-11,49779728,5.9,544
7872,Family,2018-11-20,tuesday,3.0,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,"['Fantasy', 'Action', 'Adventure', 'Comedy']",2016-06-01,245623848,5.8,984
8192,Alone,2018-05-12,saturday,3.0,Wall Street: Money Never Sleeps,70000000,"['Drama', 'Crime']",2010-09-02,134748021,5.8,504
8352,with gf,2019-04-07,saturday,3.0,Alien: Covenant,97000000,"['Horror', 'Science Fiction', 'Thriller']",2017-05-09,232380243,5.7,2677
8512,Family,2019-04-22,monday,3.0,Chloe,15000000,"['Drama', 'Thriller', 'Mystery']",2009-03-25,8459458,5.9,514
8672,Family,2019-04-06,saturday,3.0,Mr. Popper's Penguins,55000000,"['Comedy', 'Family']",2011-06-17,187361754,5.7,775
8832,Family,2018-12-09,sunday,3.0,Keeping Up with the Joneses,40000000,"['Action', 'Comedy']",2016-10-20,29918745,5.9,608
1248,Family,2018-07-09,monday,4.0,Braveheart,72000000,"['Action', 'Drama', 'History', 'War']",1995-05-24,210000000,7.7,3404
4096,Family,2019-05-09,thursday,4.0,Das Boot,14000000,"['Action', 'Drama', 'History', 'War', 'Adventure']",1981-09-16,85000000,7.9,623
4224,with gf,2018-09-21,saturday,4.0,Alien,11000000,"['Horror', 'Action', 'Thriller', 'Science Fiction']",1979-05-25,104931801,7.9,4564
4800,Family,2019-02-28,thursday,4.0,Brazil,15000000,"['Comedy', 'Science Fiction']",1985-02-20,0,7.6,877
6816,Alone,2018-06-10,sunday,4.0,Dogville,10000000,"['Crime', 'Drama', 'Thriller']",2003-05-19,16680836,7.6,619
7584,Family,2018-07-27,sunday,4.0,The Bridge on the River Kwai,3000000,"['Drama', 'History', 'War']",1957-10-02,27200000,7.7,554
704,Alone,2018-10-04,thursday,5.0,Apocalypse Now,31500000,"['Drama', 'War']",1979-08-15,89460381,8.0,2112
4000,Family,2018-07-30,monday,5.0,The Green Mile,60000000,"['Fantasy', 'Drama', 'Crime']",1999-12-10,284600000,8.2,4166
4064,Family,2019-02-28,thursday,5.0,The Dark Knight,185000000,"['Drama', 'Action', 'Crime', 'Thriller']",2008-07-16,1004558444,8.3,12269
4768,Alone,2018-04-18,wednesday,5.0,American History X,20000000,['Drama'],1998-10-30,23875127,8.2,3120
7424,Alone,2018-08-17,friday,5.0,GoodFellas,25000000,"['Drama', 'Crime']",1990-09-12,46836394,8.2,3211
544,with gf,2018-04-10,tuesday,2.0,Dumb and Dumber To,40000000,['Comedy'],2014-11-12,169837010,5.4,1140
1504,with gf,2018-04-17,tuesday,2.0,Max Payne,35000000,['Action'],2008-10-15,85416905,5.2,625
1696,with gf,2018-05-28,saturday,2.0,Poltergeist,35000000,"['Horror', 'Thriller']",2015-05-20,95437994,5.0,924
1888,with gf,2018-08-03,friday,2.0,Green Lantern,200000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",2011-06-16,219851172,5.1,2551
2304,with gf,2018-11-19,monday,2.0,Fifty Shades of Grey,40000000,"['Drama', 'Romance', 'Thriller']",2015-02-11,571006128,5.2,3350
2368,with gf,2018-12-08,saturday,2.0,Mortdecai,60000000,"['Comedy', 'Adventure']",2015-01-21,30418560,5.4,1078
2656,with gf,2019-02-26,tuesday,2.0,Drive Angry,50000000,"['Fantasy', 'Thriller', 'Action', 'Crime']",2011-02-24,28931401,5.3,608
4128,Family,2019-01-14,monday,2.0,Couples Retreat,70000000,"['Comedy', 'Romance']",2009-09-19,171844840,5.3,601
5344,with gf,2019-01-06,sunday,2.0,Babylon A.D.,70000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",2008-08-20,72108608,5.4,687
5440,with gf,2018-03-30,friday,2.0,The Incredible Burt Wonderstone,30000000,['Comedy'],2013-03-14,27437881,5.3,732
7168,with gf,2019-05-05,sunday,2.0,Blackhat,70000000,"['Crime', 'Drama', 'Mystery']",2015-01-13,17752940,5.1,842
7296,Family,2018-06-12,tuesday,2.0,Evan Almighty,175000000,"['Fantasy', 'Comedy', 'Family']",2007-06-09,173000000,5.3,1194
8128,Family,2018-05-21,monday,2.0,Paul Blart: Mall Cop,26000000,"['Action', 'Adventure', 'Comedy', 'Family']",2009-01-15,183293131,5.2,807
160,with gf,2018-11-11,saturday,3.0,Deliver Us from Evil,30000000,"['Thriller', 'Crime', 'Horror']",2014-07-01,0,5.9,705
736,with gf,2018-10-12,friday,3.0,Mad Max Beyond Thunderdome,12305523,"['Action', 'Adventure', 'Science Fiction']",1985-06-29,36230219,5.9,765
864,with gf,2018-05-01,tuesday,3.0,The Three Musketeers,75000000,"['Adventure', 'Action', 'Thriller']",2011-08-31,132274484,5.6,945
1440,Family,2018-04-07,saturday,3.0,Two Weeks Notice,60000000,"['Comedy', 'Romance']",2002-12-19,93354918,5.9,505
1920,Family,2018-08-11,saturday,3.0,Stuart Little,133000000,"['Animation', 'Fantasy', 'Family', 'Comedy']",1999-12-17,300135367,5.8,998
2400,Family,2018-12-16,sunday,3.0,Night at the Museum: Battle of the Smithsonian,150000000,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",2009-05-20,413106170,5.9,2026
6144,with gf,2018-10-23,tuesday,3.0,The X Files: I Want to Believe,30000000,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",2008-07-24,68369434,5.5,534
7456,with gf,2018-11-18,sunday,3.0,The Men Who Stare at Goats,24000000,"['Comedy', 'War']",2009-10-17,68729358,5.9,755
7936,with gf,2018-06-13,wednesday,3.0,LOL,11000000,"['Drama', 'Comedy', 'Romance']",2012-02-10,0,5.8,905
0,with gf,2018-03-30,friday,4.0,The Matrix,63000000,"['Action', 'Science Fiction']",1999-03-30,463517383,7.9,9079
64,with gf,2018-06-10,saturday,4.0,Aliens,18500000,"['Horror', 'Action', 'Thriller', 'Science Fiction']",1986-07-18,183316455,7.7,3282
96,with gf,2018-08-05,sunday,4.0,Kill Bill: Vol. 2,30000000,"['Action', 'Crime', 'Thriller']",2004-04-16,152159461,7.7,4061
576,Family,2018-10-27,saturday,4.0,Harry Potter and the Philosopher's Stone,125000000,"['Adventure', 'Fantasy', 'Family']",2001-11-16,976475550,7.5,7188
1728,with gf,2018-06-06,wednesday,4.0,The Fault in Our Stars,12000000,"['Romance', 'Drama']",2014-05-16,307166834,7.6,3868
1984,Alone,2018-09-02,sunday,4.0,Million Dollar Baby,30000000,['Drama'],2004-12-15,216763646,7.7,2519
