,movieId,title,genres,release_date,vote_average,vote_count,keywords
94.0,40154,A Midwinter's Tale,Comedy,1995,7.5,0.0,"play, hamlet, christmas, actor"
95.0,406,La Haine,Drama,1995,8.0,700.0,"paris, neo-nazi, skinhead, robbery, police brutality"
96.0,45549,Shopping,"Action, Adventure, Drama, Science Fiction, Thriller",1994,5.5,0.0,[]
97.0,63076,Heidi Fleiss: Hollywood Madam,Documentary,1995,7.0,0.0,"narration, hollywood, prostitution"
98.0,11062,City Hall,"Drama, Thriller",1996,6.0,100.0,"corruption, undercover, war on drugs, mayor, drug dealer"
99.0,13685,Bottle Rocket,"Comedy, Crime, Drama",1996,7.0,300.0,"brother brother relationship, robbery, burglar, language barrier, motel"
100.0,47475,Mr. Wrong,"Comedy, Romance",1996,3.5,0.0,[]
101.0,2045,Unforgettable,"Drama, Mystery, Science Fiction, Thriller",1996,5.5,0.0,"wife husband relationship, experiment, police, murder, suspense"
102.0,9614,Happy Gilmore,Comedy,1996,6.5,800.0,"loss of mother, loss of father, golf, sport, taxes"
103.0,688,The Bridges of Madison County,"Drama, Romance",1995,7.5,400.0,"farewell, adultery, love at first sight, photographer, wife husband relationship"
104.0,11907,Nobody Loves Me,"Drama, Comedy, Family",1994,5.0,0.0,"prophecy, voodoo, single, falling in love, woman director"
105.0,10874,Muppet Treasure Island,"Action, Comedy, Music, Family, Adventure",1996,6.5,100.0,"island, pirate gang, puppet, treasure hunt"
106.0,89333,Catwalk,Documentary,1995,7.0,0.0,[]
107.0,96357,Headless Body in Topless Bar,Crime,1995,0.0,0.0,ex-con
108.0,197,Braveheart,"Action, Drama, History, War",1995,7.5,3400.0,"individual, scotland, in love with enemy, legend, independence"
109.0,103,Taxi Driver,"Crime, Drama",1976,8.0,2600.0,"vietnam veteran, taxi, obsession, drug dealer, night shift"
110.0,33542,Rumble in the Bronx,"Crime, Action, Comedy, Thriller",1995,6.5,200.0,"new york, martial arts, supermarket, gang war, disabled child"
111.0,43566,Before and After,"Drama, Thriller",1996,6.0,0.0,[]
112.0,71754,Margaret's Museum,Drama,1995,7.5,0.0,"mining, dance lesson, coal mining, bagpipes"
113.0,43612,Happiness Is in the Field,Comedy,1995,7.0,0.0,"best friend, twins, country, identity swap, woman director"
114.0,51352,Anne Frank Remembered,"Documentary, Drama, Foreign",1995,7.5,0.0,"fascism, auschwitz, typhus, victim, interview"
115.0,16934,The Young Poisoner's Handbook,"Comedy, Crime, Drama",1995,7.0,0.0,"london england, poison, based on true story, murder, serial killer"
116.0,10324,If Lucy Fell,"Comedy, Romance",1996,5.5,0.0,"roommate, single, love, independent film, best friend"
117.0,78406,Steal Big Steal Little,"Comedy, Drama",1995,5.0,0.0,"brother brother relationship, twin brother, lawyer, estate, santa barbara california"
118.0,55731,Race the Sun,"Action, Adventure, Comedy, Drama, Family",1996,5.0,0.0,"hawaii, australia, teacher, car, solar power"
119.0,32119,The Boys of St. Vincent,Drama,1992,7.0,0.0,[]
120.0,11066,Boomerang,"Comedy, Romance",1992,5.5,100.0,"role of women, ladykiller, success, ""ladies man"", chefin"
121.0,11104,Chungking Express,"Drama, Comedy, Romance",1994,8.0,200.0,"ex-girlfriend, drug smuggle, girlfriend, snack bar, romance"
122.0,37975,The Star Maker,"Drama, Romance",1995,7.0,0.0,[]
123.0,2074,Flirting with Disaster,"Comedy, Romance",1996,6.5,100.0,"lsd, looking for  birth parents, half-brother, independent film"
124.0,27793,The Neverending Story III: Escape from Fantasia,Fantasy,1994,4.5,100.0,"flying, magic"
125.0,44284,The Silences of the Palace,Drama,1994,4.5,0.0,woman director
126.0,290157,Jupiter's Wife,[],1995,0.0,0.0,[]
127.0,110972,Pie in the Sky,"Comedy, Romance",1996,7.0,0.0,[]
128.0,32622,Angela,"Comedy, Drama",1995,5.5,0.0,"independent film, woman director"
129.0,73067,Frankie Starlight,"Drama, Romance, War",1995,5.5,0.0,"boy, writer, ireland, flashback, troop ship"
130.0,11863,Jade,"Action, Thriller, Mystery, Romance",1995,5.0,0.0,"callgirl, san francisco, investigation, murder"
131.0,55475,Nueba Yol,"Comedy, Drama, Romance",1995,5.5,0.0,"new york, emigration, dominican republic"
132.0,124636,Sonic Outlaws,"Music, Documentary",1995,0.0,0.0,[]
133.0,9101,Down Periscope,Comedy,1996,5.5,100.0,"submarine, u.s. navy, misfit"
134.0,123360,From the Journals of Jean Seberg,Documentary,1995,6.5,0.0,biography
135.0,5757,Man of the Year,Comedy,1995,4.0,0.0,"homosexuality, independent film, mockumentary"
136.0,39428,The Neon Bible,Drama,1995,7.0,0.0,"southern usa, based on novel, singer, south"
137.0,124639,Target,[],1995,0.0,0.0,[]
138.0,9302,Up Close & Personal,"Drama, Romance",1996,6.0,0.0,"skab under tv, foran, nederste hylde"
139.0,11000,The Birdcage,Comedy,1996,6.5,300.0,"gay, drag queen, homophobia, florida, coming out"
140.0,249882,Virgin Mary,Drama,1995,7.0,0.0,"mountain, miracle, apparition, communism, virgin mary"
141.0,16388,The Brothers McMullen,"Comedy, Drama, Romance",1995,6.5,0.0,"love, independent film, best friend, true love, irish catholic"
142.0,9737,Bad Boys,"Action, Comedy, Crime, Thriller",1995,6.5,1700.0,"miami, detective, handcuffs, airport, mexican standoff"
143.0,30765,The Amazing Panda Adventure,"Action, Adventure, Drama, Family",1995,5.0,0.0,"china, panda, poacher"
144.0,10474,The Basketball Diaries,"Drama, Crime",1995,7.0,500.0,"sport, basketball, addiction, friends, drug"
145.0,22279,An Awfully Big Adventure,"Romance, Drama, Comedy",1995,6.0,0.0,"england, based on novel, liverpool, theatre company, 1940s"
146.0,30157,Amateur,"Crime, Comedy, Drama, Thriller",1994,6.5,0.0,independent film
147.0,568,Apollo 13,Drama,1995,7.5,1600.0,"moon, florida, nasa, spaceman, race against time"
148.0,11780,Rob Roy,Adventure,1995,6.5,200.0,"scotland, biography, 18th century, highlands, violent man"
149.0,34996,The Addiction,"Drama, Horror",1995,6.5,0.0,"new york, philosophy, vampire, blood, student"
150.0,414,Batman Forever,"Action, Crime, Fantasy",1995,5.0,1500.0,"riddle, dc comics, rose, gotham city, partner"
151.0,649,Belle de Jour,"Drama, Romance",1967,7.5,200.0,"prostitute, adultery, double life, dual identity, jealousy"
152.0,1873,Beyond Rangoon,"Drama, Thriller",1995,6.5,0.0,"burma, rangoon, doctor"
153.0,5894,Blue in the Face,Comedy,1995,7.0,0.0,"smoking, corner shop, cigarette, tobacco, cigar"
154.0,1775,Canadian Bacon,"Action, Comedy",1995,6.0,100.0,[]
155.0,8839,Casper,"Fantasy, Comedy, Family",1995,6.0,1000.0,"halloween, friendship, supernatural, afterlife, friends"
156.0,20649,Clockers,"Mystery, Crime, Drama",1995,7.0,100.0,"drug pusher, train, drug, drug lord"
157.0,10329,Congo,"Action, Adventure, Drama, Mystery, Science Fiction",1995,5.0,200.0,"gorilla, kongo, diamond mine, diamond"
158.0,8963,Crimson Tide,"Action, Thriller, Drama",1995,7.0,500.0,"submarine, mutiny, russia, missile, nuclear missile"
159.0,26564,Crumb,Documentary,1994,7.5,100.0,"underground, biography, art"
160.0,8068,Desperado,"Thriller, Action, Crime",1995,7.0,900.0,"gunslinger, anti terror, ambush, mexico, showdown"
161.0,8512,Devil in a Blue Dress,"Drama, Mystery, Thriller",1995,6.5,100.0,"jazz club, murder, los angeles, private detective, film noir"
162.0,1572,Die Hard: With a Vengeance,"Action, Thriller",1995,7.0,2100.0,"bomb, taxi, riddle, robbery, detective"
163.0,13552,The Doom Generation,"Action, Comedy, Crime, Drama",1995,5.5,100.0,"sex, eroticism, nudity, nazis, suspense"
164.0,259209,Feast of July,"Drama, Crime",1995,0.0,0.0,[]
165.0,6520,First Knight,"Action, Adventure, Drama, Romance",1995,6.0,300.0,"camelot, knight, king arthur, excalibur, knights of the round table"
166.0,9073,Free Willy 2 - The Adventure Home,Adventure,1995,5.5,100.0,"human animal relationship, whale, killer whale"
167.0,10428,Hackers,"Action, Crime, Thriller, Drama",1995,6.0,400.0,"female nudity, hacker, nudity, computer virus, virtual reality"
168.0,17447,Jeffrey,"Comedy, Drama, Romance",1995,6.5,0.0,"gay, aids, based on play or musical, hiv positive"
169.0,9886,Johnny Mnemonic,"Adventure, Action, Drama, Science Fiction, Thriller",1995,5.5,400.0,"brain, childhood memory, dystopia, pharmaceutical industry, computer chip"
170.0,9482,Judge Dredd,Science Fiction,1995,5.5,600.0,"judge, post-apocalyptic, dystopia, based on comic, police officer"
171.0,19326,Jury Duty,"Comedy, Drama",1995,4.0,0.0,"stripper, jury, jurist, independent film, jury duty"
172.0,9344,Kids,"Drama, Crime",1995,7.0,300.0,"puberty, first time"
173.0,9071,Living in Oblivion,"Drama, Comedy",1995,7.0,100.0,"cinema, independent film, filmmaker"
174.0,8973,Lord of Illusions,"Mystery, Horror, Thriller",1995,6.0,100.0,"fanatic, supernatural, wizardry, resurrection, sect"
175.0,15730,Love & Human Remains,"Comedy, Drama",1993,7.0,0.0,[]
176.0,47608,Mad Love,"Drama, Family, Romance",1995,5.5,0.0,"suicide attempt, college, teen angst, mental illness, woman director"
177.0,2293,Mallrats,"Romance, Comedy",1995,7.0,400.0,"sex, game show, slacker, shopping, mall"
178.0,9070,Mighty Morphin Power Rangers: The Movie,"Action, Adventure, Science Fiction, Family, Fantasy",1995,5.0,200.0,"based on tv series, tokusatsu, superhero team, ethnic diversity, super sentai"
179.0,68274,Moonlight and Valentino,"Comedy, Drama, Romance",1995,5.5,0.0,"widow, female friendship, grief, death of husband"
180.0,48787,Mute Witness,"Thriller, Foreign",1995,6.5,0.0,"chase, police, murder, mute, disk"
181.0,34574,Nadja,"Horror, Thriller",1994,6.0,0.0,"new york, vampire, dracula"
182.0,1642,The Net,"Crime, Drama, Mystery, Thriller, Action",1995,5.5,400.0,"cheating, new identity, computer virus, chase, computer"
183.0,11472,Nine Months,Comedy,1995,5.5,200.0,"parent child relationship, baby, marriage, pregnancy, child wish"
184.0,36196,Party Girl,Comedy,1995,6.0,0.0,"library, party, independent film, free spirit, woman director"
185.0,11980,The Prophecy,"Fantasy, Horror, Thriller",1995,6.5,100.0,"angel, archangel gabriel, menschheit"
186.0,58372,Reckless,"Fantasy, Comedy, Drama",1995,10.0,0.0,"trauma, game show, female protagonist, christmas"
187.0,32646,Safe,Drama,1995,7.0,100.0,"sex, chemical, medicine, housewife, pollution"
188.0,10533,The Scarlet Letter,"Drama, History, Romance",1995,5.5,100.0,"based on novel, burning of witches, puritan, pregnancy, period drama"
189.0,56088,The Show,Documentary,1995,5.5,0.0,[]
190.0,10802,Showgirls,Drama,1995,5.0,300.0,"dancing, female nudity, go-go dancer, spanner, seduction"
191.0,10149,Smoke,"Comedy, Drama",1995,7.0,100.0,"smoking, robber, cigarette, cigar, laden"
192.0,18402,Something to Talk About,Comedy,1995,5.5,100.0,"horse, savannah, based on true story, family"
193.0,9348,Species,"Science Fiction, Horror, Action",1995,5.5,500.0,"telepathy, dna, paranoia, genetics, instinct"
194.0,139408,The Stars Fell on Henrietta,Drama,1995,6.5,0.0,"restaurant, oil, rural setting"
195.0,281,Strange Days,"Crime, Drama, Science Fiction, Thriller",1995,7.0,300.0,"pornography, prostitute, rape, police brutality, dream"
196.0,5967,The Umbrellas of Cherbourg,"Drama, Romance",1964,7.5,100.0,"car mechanic, letter, musical, war, single"
197.0,79593,The Tie That Binds,Thriller,1995,4.5,0.0,[]
198.0,47939,Three Wishes,"Drama, Fantasy",1995,6.0,0.0,"baseball, drifter, dog, korean war, woman director"
199.0,36834,Total Eclipse,"Drama, Romance",1995,6.5,100.0,"mentor, poet, woman director"
200.0,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,1995,6.5,100.0,"transvestism, gay, new york, drag queen, homophobia"
201.0,3512,Under Siege 2: Dark Territory,"Action, Thriller",1995,5.5,200.0,"terrorist, pentagon, satellite, navy seal, train"
202.0,52856,Unstrung Heroes,"Comedy, Drama, Family",1995,6.5,0.0,woman director
203.0,77350,Unzipped,Documentary,1995,6.0,0.0,fashion
204.0,9560,A Walk in the Clouds,"Drama, Romance",1995,6.5,200.0,"world war ii, vineyard, love, remake, pregnancy"
205.0,9804,Waterworld,"Adventure, Action",1995,6.0,1000.0,"ocean, tattoo, mutant, water, dystopia"
206.0,31611,White Man's Burden,Drama,1995,5.0,0.0,"dystopia, black white relations, alternative universe"
207.0,65796,Wild Bill,"Action, Western",1995,6.0,0.0,"opium, loss of eyesight, biography, sioux, wild bill hickok"
208.0,49805,The Browning Version,Drama,1994,6.0,0.0,[]
209.0,26258,Bushwhacked,"Adventure, Action, Comedy, Crime, Family",1995,5.0,0.0,"cave, waterfall, children, mistaken identity, boy scouts leader"
210.0,50797,Burnt by the Sun,Drama,1994,6.5,0.0,"wife husband relationship, colonel"
211.0,19155,Before the Rain,"Drama, War",1994,7.5,0.0,"monk, mountain, restaurant, war photographer, christian"
212.0,76,Before Sunrise,"Drama, Romance",1995,7.5,1000.0,"dialogue, sunrise, talking, soulmates, walking"
213.0,11017,Billy Madison,Comedy,1995,6.0,500.0,woman director
214.0,37141,The Babysitter,"Drama, Thriller",1995,4.5,0.0,"alcohol, obsession, babysitter, party, teenager"
215.0,9382,Boys on the Side,"Comedy, Drama",1995,6.5,0.0,"aids, roommate, homicide, car journey, friendship"
216.0,6715,The Cure,"Drama, Family",1995,7.0,100.0,mississippi
217.0,18256,Castle Freak,"Thriller, Drama, Horror, Mystery",1995,6.0,0.0,"castle, voyeurism"
218.0,22625,Circle of Friends,"Drama, Family, Romance",1995,6.5,0.0,"forbidden love, moral conflict, independent film"
219.0,2292,Clerks,Comedy,1994,7.5,800.0,"salesclerk, loser, aftercreditsstinger"
220.0,1909,Don Juan DeMarco,"Romance, Drama, Comedy",1994,6.5,200.0,"sex addiction, love, mental institution, patient, psychiatrist"
221.0,8984,Disclosure,"Drama, Thriller, Crime, Mystery, Romance",1994,6.0,200.0,"employee, workplace, sexual harassment, intrigue"
222.0,61813,Dream Man,Thriller,1995,2.5,0.0,"vision, psychic"
223.0,4954,Drop Zone,"Action, Adventure, Thriller",1994,5.0,100.0,"terrorist, transport of prisoners, airplane, parachuting, suspense"
224.0,62488,Destiny Turns on the Radio,"Crime, Comedy, Fantasy",1995,5.5,0.0,"heist, expectant father"
225.0,10531,Death and the Maiden,"Drama, Thriller, Mystery",1994,7.0,100.0,"married couple, chile, pinochet-regime, revenge, doctor"
226.0,11929,Dolores Claiborne,"Crime, Drama, Mystery",1995,7.0,200.0,"child abuse, detective, based on novel, bar, island"
227.0,8467,Dumb and Dumber,Comedy,1994,6.5,1900.0,"gas station, motel, utah, stupidity, pill"
228.0,10451,Eat Drink Man Woman,"Comedy, Drama, Romance",1994,7.5,100.0,"cooking, sense of life, daughter, dating, family"
229.0,20156,Exotica,"Drama, Mystery",1994,6.5,100.0,"secret, nightclub, pet shop, independent film, unhappiness"
230.0,18395,Exit to Eden,"Thriller, Comedy, Crime, Romance",1994,4.5,0.0,"female nudity, sexuality, island, love, mistress"
231.0,522,Ed Wood,"Comedy, Drama, History",1994,7.5,600.0,"individual, taxi, transsexuality, fortune teller, film business"
232.0,397,French Kiss,"Comedy, Romance",1995,6.0,200.0,"paris, airport, in love with enemy, canadian, necklace"
233.0,10525,Forget Paris,"Comedy, Drama, Romance",1995,6.0,0.0,"paris, dallas, basketball, crisis, falling in love"
234.0,27985,Far from Home: The Adventures of Yellow Dog,"Action, Adventure, Drama, Family",1995,5.5,0.0,"wilderness, boy and dog"
235.0,15789,A Goofy Movie,"Romance, Animation, Family, Comedy, Adventure",1995,6.5,400.0,"father son relationship, pop singer, musical, celebrity, road trip"
236.0,27303,Hideaway,"Drama, Thriller",1995,5.0,0.0,suspense
237.0,21183,Fluke,"Drama, Family, Fantasy",1995,6.5,0.0,"father son relationship, based on novel, reincarnation, talking dog, car accident"
238.0,10954,Farinelli,"History, Drama",1994,6.0,0.0,"brother brother relationship, opera, eunuch, biography, dresden"
239.0,47867,Gordy,"Drama, Family, Fantasy",1995,3.0,0.0,country music
240.0,43475,Gumby: The Movie,"Fantasy, Animation, Science Fiction, Family",1995,5.0,0.0,[]
241.0,72031,The Glass Shield,"Drama, Action, Thriller, Crime",1994,5.5,0.0,[]
242.0,14275,Hoop Dreams,Documentary,1994,7.5,100.0,"chicago, sports team, ghetto, narration, college"
243.0,1024,Heavenly Creatures,"Drama, Fantasy",1994,7.0,300.0,"mother, sex, secret, obsession, literature"
244.0,17207,Houseguest,"Comedy, Family",1995,6.0,0.0,[]
245.0,13701,Immortal Beloved,"Drama, Music, Romance",1994,7.0,100.0,"deafness, sister-in-law, character study, uncle nephew relationship, für elise"
246.0,14819,Heavyweights,"Comedy, Family, Drama",1995,6.0,100.0,"overweight, summer camp"
247.0,32631,The Hunted,"Action, Thriller",1995,6.0,0.0,[]
248.0,11777,I.Q.,"Comedy, Drama, Romance",1994,6.0,100.0,"wedding vows, mathematician, car mechanic, comet, albert einstein"
249.0,628,Interview with the Vampire,"Horror, Romance",1994,7.0,1600.0,"paris, san francisco, vampire, plantation, pity"
